"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"validate the list user endpoint","682","validate new User create by post method","chromium","Sun Sep 20 21:20:30 IST 2026","passed","Sun Sep 20 21:20:31 IST 2026","","TestFile.spec.ts","",""
"validate the list user endpoint","683","validate Get user list","chromium","Sun Sep 20 21:20:30 IST 2026","passed","Sun Sep 20 21:20:31 IST 2026","","TestFile.spec.ts","",""
